id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1774,10.0,0.45,0.49,1.8,0.0969999999999999,10.0,19.0,0.9963,3.3,0.71,9.7,6.0
1775,9.8,0.34,0.46,1.8,0.084,13.0,47.0,0.9972,3.3,0.63,10.0,6.0
1776,12.0,0.48,0.5,2.0,0.084,7.0,32.0,1.0022,3.19,0.61,10.0,6.0
1777,7.7,0.685,0.21,1.7,0.0819999999999999,24.0,44.0,0.9964,3.32,0.56,9.5,6.0
1778,10.2,0.27,0.66,2.3,0.077,10.0,42.0,0.99562,3.35,0.58,10.9,6.0
1779,6.2,0.53,0.06,2.1,0.077,15.0,45.0,0.9965,3.51,0.56,11.2,6.0
1780,8.8,0.54,0.21,2.1,0.078,6.0,29.0,0.9955,3.05,0.54,11.4,8.0
1781,7.2,0.65,0.0,1.7,0.08,6.0,14.0,0.99543,3.34,0.65,10.9,6.0
1782,11.3,0.46,0.64,2.1,0.071,6.0,17.0,0.99672,3.15,0.78,10.8,6.0
1783,8.2,0.48,0.49,1.7,0.085,11.0,19.0,0.9994,3.29,0.63,9.5,4.0
1784,6.6,0.51,0.2,1.7,0.076,4.0,9.0,0.9986,3.5,0.77,9.5,4.0
1785,8.4,0.7,0.0,2.2,0.079,8.0,28.0,0.9996,3.36,0.54,10.9,6.0
1786,6.9,0.705,0.0,1.9,0.09,10.0,24.0,0.99578,3.42,0.61,9.4,6.0
1787,9.4,0.24,0.45,2.2,0.084,7.0,29.0,0.9994,3.32,0.68,9.9,5.0
1788,12.6,0.39,0.39,3.4,0.08,5.0,19.0,0.9956,3.32,0.54,11.0,7.0
1789,8.3,0.53,0.27,1.9,0.061,17.0,42.0,0.9978,3.44,0.46,10.1,6.0
1790,11.3,0.43,0.43,1.8,0.095,13.0,54.0,0.9976,3.22,0.63,10.8,5.0
1791,8.0,0.68,0.0,2.1,0.07,14.0,25.0,0.99624,3.32,0.49,11.0,7.0
1792,6.7,0.39,0.24,2.4,0.087,14.0,25.0,0.9982,3.44,0.61,10.8,7.0
1793,7.6,0.41,0.42,1.8,0.081,15.0,42.0,0.99572,3.5,0.62,9.4,5.0
1794,8.7,0.51,0.13,2.4,0.068,10.0,18.0,0.9982,3.33,0.62,9.0,6.0
1795,6.6,0.4,0.49,2.2,0.078,6.0,12.0,0.9972,2.94,0.62,10.8,6.0
1796,7.4,0.38,0.27,1.9,0.086,5.0,12.0,0.99568,3.4,0.54,9.3,5.0
1797,10.9,0.38,0.39,2.0,0.0819999999999999,5.0,12.0,0.99708,3.29,0.57,9.9,6.0
1798,5.6,0.74,0.02,2.2,0.077,3.0,14.0,0.9988,3.58,0.59,11.6,5.0
1799,7.3,0.38,0.31,1.7,0.076,15.0,28.0,0.99668,3.57,0.54,9.3,4.0
1800,8.3,0.58,0.28,2.3,0.077,16.0,37.0,0.99604,3.15,0.49,10.0,6.0
1801,8.8,0.37,0.4,1.4,0.078,16.0,86.0,0.9982,3.27,0.56,9.0,5.0
1802,9.1,0.57,0.3,2.5,0.09,5.0,11.0,0.99498,3.36,0.8,10.8,6.0
1803,10.3,0.39,0.53,1.7,0.093,36.0,127.0,0.9996,3.14,0.63,9.8,5.0
1804,8.9,0.735,0.0,2.1,0.077,14.0,31.0,0.99552,3.45,0.76,10.0,5.0
1805,7.9,0.41,0.24,2.0,0.091,12.0,31.0,0.9966,3.36,0.55,10.9,5.0
1806,8.7,0.43,0.33,2.1,0.05,16.0,24.0,0.99492,3.33,0.62,11.9,6.0
1807,7.0,0.33,0.49,2.6,0.0819999999999999,16.0,26.0,0.9988,3.4,0.55,9.8,5.0
1808,8.4,0.63,0.24,1.8,0.071,10.0,31.0,0.9942,3.43,0.52,10.5,5.0
1809,6.7,0.43,0.07,2.4,0.068,32.0,66.0,0.9988,3.44,0.5,10.5,6.0
1810,12.9,0.41,0.49,2.1,0.083,5.0,10.0,0.99708,3.04,0.73,9.9,6.0
1811,7.5,0.46,0.31,2.4,0.078,14.0,27.0,0.99552,3.18,0.62,9.4,5.0
1812,10.1,0.41,0.4,2.1,0.09,22.0,35.0,0.9958,3.18,0.54,11.6,7.0
1813,7.0,0.43,0.32,1.9,0.07,14.0,35.0,0.9996,3.12,0.58,9.5,5.0
1814,9.9,0.51,0.24,2.6,0.084,15.0,26.0,0.99572,3.17,0.48,10.3,6.0
1815,7.3,0.685,0.0,1.8,0.07,6.0,14.0,0.99603,3.2,0.54,10.3,6.0
1816,8.0,0.61,0.14,2.1,0.079,8.0,19.0,0.99774,3.35,0.7,9.5,6.0
1817,11.3,0.26,0.48,2.0,0.081,6.0,17.0,0.99648,3.26,0.63,10.5,6.0
1818,7.8,0.65,0.02,2.6,0.0819999999999999,25.0,99.0,0.9962,3.45,0.53,9.3,6.0
1819,6.9,0.61,0.02,1.6,0.084,4.0,12.0,0.99498,3.44,0.5,9.8,6.0
1820,7.9,0.645,0.0,1.6,0.084,10.0,31.0,0.9972,3.37,0.61,9.7,6.0
1821,7.6,0.65,0.0,1.8,0.077,19.0,50.0,0.99672,3.31,0.59,9.5,5.0
1822,8.7,0.5,0.34,1.8,0.079,15.0,39.0,0.99685,3.36,0.53,10.8,7.0
1823,8.4,0.35,0.42,2.0,0.071,5.0,15.0,0.9983,3.34,0.56,12.7,7.0
1824,7.7,0.43,0.34,2.5,0.106,8.0,19.0,0.9972,3.34,0.91,11.0,6.0
1825,6.8,0.39,0.13,2.5,0.08,7.0,22.0,0.9962,3.36,0.56,10.5,6.0
1826,7.1,0.52,0.02,2.3,0.079,8.0,23.0,0.99745,3.39,0.82,11.9,7.0
1827,8.7,0.7,0.04,1.6,0.073,6.0,19.0,0.9966,3.36,0.66,9.3,5.0
1828,7.6,0.86,0.06,1.6,0.062,6.0,28.0,0.99745,3.38,0.6,11.0,6.0
1829,8.3,0.48,0.24,1.8,0.06,14.0,29.0,0.9962,3.28,0.51,10.0,5.0
1830,7.2,0.655,0.01,2.1,0.08,17.0,30.0,0.99974,3.38,0.59,9.8,5.0
1831,8.0,0.55,0.24,2.3,0.092,11.0,23.0,0.99498,3.22,0.66,9.0,5.0
1832,8.1,0.46,0.26,2.0,0.0819999999999999,16.0,86.0,0.996,3.28,0.55,9.5,5.0
1833,12.6,0.36,0.76,3.0,0.087,5.0,12.0,1.0002,3.15,0.66,9.4,7.0
1834,7.3,0.66,0.0,2.0,0.073,14.0,31.0,0.9958,3.39,0.6,9.4,6.0
1835,9.5,0.27,0.43,2.3,0.074,10.0,47.0,0.9964,3.35,0.57,10.4,5.0
1836,7.8,0.59,0.26,1.9,0.07,21.0,77.0,0.9972,3.3,0.56,11.0,5.0
1837,6.7,0.69,0.0,1.9,0.067,12.0,35.0,0.99672,3.39,0.6,9.6,5.0
1838,11.3,0.43,0.5,2.7,0.071,5.0,14.0,0.9978,3.38,0.62,9.6,6.0
1839,7.0,0.88,0.0,2.0,0.078,34.0,119.0,0.99668,3.44,0.5,10.3,8.0
1840,8.7,0.5,0.0,2.6,0.071,8.0,25.0,0.9978,3.58,0.59,10.5,6.0
1841,7.5,0.53,0.04,2.7,0.093,13.0,29.0,0.9958,3.42,0.59,9.4,6.0
1842,7.6,0.53,0.16,1.8,0.066,5.0,16.0,0.99354,3.39,0.54,9.9,5.0
1843,7.1,0.4,0.12,2.1,0.081,24.0,44.0,0.9994,3.35,0.6,12.8,6.0
1844,7.9,0.735,0.0,2.4,0.066,12.0,41.0,0.99488,3.38,0.55,9.4,6.0
1845,7.4,0.35,0.2,1.7,0.083,8.0,22.0,0.9961,3.35,0.54,11.5,6.0
1846,7.6,0.34,0.32,1.9,0.076,12.0,46.0,0.9958,3.32,0.48,9.4,5.0
1847,8.9,0.545,0.18,1.8,0.084,8.0,18.0,0.9968,3.27,0.52,9.5,5.0
1848,7.2,0.53,0.13,2.1,0.0969999999999999,17.0,31.0,0.99656,3.21,0.62,9.6,5.0
1849,7.3,0.4,0.43,1.5,0.073,26.0,43.0,0.9994,3.2,0.64,9.3,5.0
1850,10.4,0.44,0.48,2.1,0.079,7.0,26.0,0.9964,3.26,0.6,9.4,5.0
1851,7.0,0.59,0.23,2.1,0.079,13.0,70.0,0.9976,3.51,0.56,9.3,6.0
1852,7.6,0.57,0.04,2.0,0.077,9.0,29.0,0.99685,3.36,0.6,9.3,5.0
1853,7.9,0.59,0.2,2.1,0.079,17.0,59.0,0.9958,3.25,0.49,9.6,6.0
1854,7.0,0.68,0.0,1.8,0.077,12.0,28.0,0.9955,3.34,0.6,9.9,6.0
1855,8.6,0.26,0.43,2.7,0.087,16.0,42.0,0.99572,3.28,0.72,10.3,6.0
1856,9.3,0.58,0.24,1.9,0.048,11.0,47.0,0.9982,3.21,0.6,10.0,7.0
1857,8.9,0.42,0.21,1.7,0.067,26.0,59.0,0.9996,3.32,0.52,9.9,6.0
1858,7.8,0.68,0.02,2.5,0.064,3.0,6.0,0.99652,3.41,0.52,9.5,6.0
1859,7.9,0.35,0.32,2.2,0.09,29.0,61.0,0.998,3.24,0.91,9.6,5.0
1860,7.0,0.36,0.42,2.2,0.083,6.0,20.0,0.99502,3.17,0.77,9.9,5.0
1861,8.1,0.43,0.54,1.8,0.075,16.0,43.0,0.99616,3.38,0.85,12.8,7.0
1862,7.0,0.57,0.0,2.3,0.081,11.0,44.0,0.9972,3.33,0.57,9.2,6.0
1863,7.3,0.39,0.29,1.8,0.077,27.0,46.0,0.9958,3.36,0.57,9.5,5.0
1864,5.6,0.44,0.4,2.3,0.057,5.0,13.0,0.9987,3.31,0.87,11.0,5.0
1865,7.1,0.53,0.03,2.0,0.08,27.0,52.0,0.9982,3.4,0.56,9.5,6.0
1866,8.3,0.57,0.21,2.0,0.092,32.0,47.0,0.9962,3.5,0.57,11.4,7.0
1867,9.9,0.37,0.48,2.8,0.062,21.0,43.0,0.9982,3.35,0.52,11.4,6.0
1868,8.2,0.57,0.26,2.1,0.077,10.0,37.0,0.9964,3.08,0.57,9.2,5.0
1869,6.9,0.55,0.0,2.1,0.071,9.0,35.0,0.99715,3.45,0.54,10.1,6.0
1870,7.0,0.64,0.07,2.6,0.09,17.0,91.0,0.9959,3.35,0.73,9.3,6.0
1871,7.0,0.32,0.24,2.3,0.095,8.0,25.0,0.9964,3.48,0.56,10.2,5.0
1872,11.9,0.38,0.49,2.0,0.123,5.0,15.0,0.9986,3.17,0.62,12.8,7.0
1873,7.6,0.39,0.24,2.2,0.068,12.0,44.0,0.9988,3.04,0.54,10.9,4.0
1874,7.5,0.43,0.31,2.1,0.081,25.0,64.0,0.9972,3.26,0.65,11.3,7.0
1875,8.0,0.39,0.38,2.4,0.081,15.0,37.0,0.99683,3.17,0.75,9.3,4.0
1876,7.2,0.42,0.32,1.9,0.084,27.0,65.0,0.99586,3.27,0.55,9.5,5.0
1877,7.3,0.74,0.0,1.6,0.076,10.0,35.0,0.9982,3.53,0.62,9.6,5.0
1878,8.3,0.49,0.29,1.8,0.083,11.0,25.0,0.99744,3.28,0.62,11.7,6.0
1879,10.1,0.41,0.46,4.0,0.083,5.0,19.0,1.00369,3.33,0.62,10.0,8.0
1880,8.1,0.57,0.02,2.4,0.0969999999999999,4.0,15.0,0.9996,3.27,0.49,11.8,7.0
1881,8.4,0.36,0.29,2.1,0.092,32.0,134.0,0.9958,3.36,0.66,9.2,5.0
1882,7.0,0.61,0.0,3.0,0.092,23.0,113.0,0.9958,3.59,0.56,9.8,6.0
1883,7.1,0.41,0.49,2.5,0.059,24.0,62.0,0.9973,3.24,0.63,9.9,6.0
1884,8.6,0.54,0.12,2.2,0.094,6.0,13.0,0.9997,3.41,0.79,9.5,6.0
1885,8.0,0.63,0.13,1.8,0.077,15.0,29.0,0.9963,3.32,0.7,9.4,7.0
1886,9.7,0.59,0.0,2.1,0.079,4.0,20.0,0.9952,3.21,0.57,10.9,5.0
1887,8.7,0.48,0.24,2.3,0.077,15.0,44.0,0.9996,3.18,0.68,9.4,5.0
1888,9.1,0.59,0.26,1.8,0.09,13.0,58.0,0.9998,3.16,0.56,9.5,5.0
1889,7.8,0.7,0.02,2.4,0.077,14.0,27.0,0.996,3.37,0.58,11.3,7.0
1890,8.2,0.44,0.24,2.6,0.084,12.0,45.0,0.9968,3.26,0.85,9.5,7.0
1891,6.9,0.53,0.04,2.6,0.077,21.0,52.0,0.9972,3.54,0.61,9.5,6.0
1892,7.1,0.67,0.0,2.1,0.095,6.0,29.0,0.9971,3.39,0.6,9.3,5.0
1893,7.0,0.61,0.0,1.8,0.063,6.0,33.0,0.9964,3.38,0.58,9.5,5.0
1894,6.6,0.615,0.1,1.4,0.088,5.0,14.0,0.9972,3.29,0.57,10.0,4.0
1895,7.5,0.6,0.06,7.8,0.111,5.0,13.0,0.99516,3.31,0.52,11.8,5.0
1896,8.3,0.87,0.02,1.8,0.073,6.0,15.0,0.99458,3.53,0.49,12.6,7.0
1897,6.9,0.61,0.08,2.0,0.078,11.0,20.0,0.99584,3.45,0.63,10.8,8.0
1898,7.4,0.55,0.0,1.8,0.077,21.0,94.0,0.9976,3.58,0.49,9.4,5.0
1899,10.4,0.29,0.68,2.6,0.076,6.0,14.0,0.9978,3.16,1.17,9.5,5.0
1900,8.1,0.48,0.27,1.9,0.079,16.0,64.0,0.99682,3.39,0.56,12.9,7.0
1901,10.2,0.32,0.54,2.4,0.077,6.0,12.0,0.99397,3.2,0.57,11.3,6.0
1902,8.7,0.54,0.18,1.8,0.073,5.0,14.0,0.9976,3.19,0.7,9.3,6.0
1903,7.8,0.33,0.5,2.6,0.084,19.0,77.0,0.9971,3.34,0.49,12.8,6.0
1904,7.2,0.43,0.21,1.8,0.077,6.0,15.0,0.9986,3.32,0.56,12.9,5.0
1905,7.9,0.57,0.06,1.6,0.084,10.0,22.0,0.99516,3.3,0.57,9.7,5.0
1906,8.9,0.6,0.33,2.4,0.072,9.0,35.0,0.99693,3.36,0.47,10.5,6.0
1907,9.3,0.36,0.44,1.9,0.079,10.0,22.0,0.99668,3.23,0.6,9.8,5.0
1908,8.5,0.44,0.15,2.3,0.088,31.0,52.0,0.998,3.29,0.71,11.0,7.0
1909,7.1,0.51,0.02,1.5,0.073,7.0,21.0,0.9968,3.39,0.6,9.9,6.0
1910,7.6,0.43,0.32,1.9,0.0819999999999999,3.0,15.0,0.9966,3.2,0.73,9.5,6.0
1911,6.0,0.735,0.0,2.0,0.074,8.0,23.0,0.99528,3.3,0.56,11.5,6.0
1912,7.8,0.66,0.24,1.5,0.071,16.0,34.0,0.99704,3.12,0.62,9.5,5.0
1913,10.0,0.43,0.39,2.1,0.074,7.0,27.0,0.9994,3.43,0.61,9.4,6.0
1914,6.4,0.49,0.19,1.7,0.067,13.0,28.0,0.9964,3.42,0.57,10.2,6.0
1915,9.3,0.45,0.24,2.0,0.0819999999999999,18.0,40.0,0.99418,3.18,0.66,9.3,6.0
1916,7.5,0.56,0.0,1.9,0.077,28.0,51.0,0.99672,3.34,0.53,10.0,6.0
1917,7.6,0.56,0.21,1.7,0.0819999999999999,21.0,66.0,0.9988,3.38,0.64,9.5,5.0
1918,7.8,0.87,0.07,2.2,0.068,18.0,44.0,0.9996,3.51,0.62,9.5,6.0
1919,9.1,0.38,0.37,1.8,0.0969999999999999,14.0,28.0,0.9972,3.28,0.48,9.4,5.0
1920,8.1,0.6,0.0,2.1,0.08,21.0,58.0,0.99655,3.36,0.74,9.0,6.0
1921,7.2,0.58,0.05,2.1,0.114,12.0,22.0,0.9988,3.6,0.85,11.5,4.0
1922,7.3,0.32,0.32,2.2,0.069,18.0,44.0,0.9974,3.39,0.59,11.2,6.0
1923,7.0,0.54,0.06,2.0,0.084,15.0,89.0,0.9988,3.41,0.49,9.3,5.0
1924,10.0,0.49,0.49,2.6,0.06,23.0,45.0,1.0,3.27,0.59,9.6,5.0
1925,9.1,0.43,0.49,2.3,0.0579999999999999,7.0,34.0,0.9976,3.16,0.47,10.0,6.0
1926,8.9,0.53,0.4,2.4,0.071,5.0,10.0,0.9976,3.25,0.63,9.4,6.0
1927,6.7,0.57,0.02,1.8,0.0819999999999999,14.0,23.0,0.99478,3.5,0.51,10.0,6.0
1928,7.3,0.49,0.18,2.3,0.079,10.0,21.0,0.99576,3.36,0.44,9.3,5.0
1929,7.0,0.46,0.08,2.4,0.092,18.0,38.0,0.99743,3.34,0.6,9.7,6.0
1930,7.1,0.645,0.0,1.4,0.077,3.0,8.0,0.99632,3.33,0.62,9.8,5.0
1931,6.8,0.57,0.0,2.3,0.075,17.0,38.0,0.99702,3.46,0.57,11.1,4.0
1932,7.0,0.51,0.03,2.0,0.074,5.0,16.0,0.9955,3.48,0.54,10.3,5.0
1933,8.9,0.3,0.49,2.0,0.077,13.0,35.0,0.99642,3.29,0.6,9.4,5.0
1934,6.7,0.47,0.41,6.3,0.091,10.0,23.0,0.9991,3.16,0.78,11.3,7.0
1935,9.0,0.66,0.31,2.5,0.078,27.0,64.0,0.9982,3.26,0.57,11.5,6.0
1936,7.4,0.32,0.32,2.3,0.076,12.0,47.0,0.99627,3.5,0.55,9.2,6.0
1937,6.4,0.56,0.0,1.9,0.083,25.0,46.0,0.99504,3.61,0.67,9.2,5.0
1938,11.3,0.35,0.58,1.9,0.084,27.0,60.0,0.9978,3.16,0.6,9.7,6.0
1939,7.0,0.6,0.1,2.2,0.079,14.0,26.0,0.9994,3.38,0.67,9.9,6.0
1940,7.1,0.43,0.29,1.8,0.0819999999999999,5.0,11.0,0.9982,3.34,0.56,9.4,6.0
1941,7.4,0.5,0.4,2.2,0.077,33.0,85.0,0.9965,3.2,1.34,9.8,7.0
1942,7.2,0.85,0.01,1.7,0.071,6.0,28.0,0.9987,3.38,0.64,10.4,6.0
1943,11.7,0.39,0.4,2.3,0.066,5.0,15.0,0.9988,3.38,0.64,9.2,5.0
1944,7.8,0.4,0.15,2.2,0.078,4.0,8.0,0.9972,3.41,0.55,9.4,5.0
1945,10.9,0.47,0.49,2.2,0.086,6.0,29.0,0.9988,3.21,0.56,10.8,6.0
1946,6.8,0.6,0.13,2.3,0.076,6.0,16.0,0.9956,3.29,0.57,12.5,6.0
1947,7.8,0.725,0.21,2.0,0.07,30.0,119.0,0.9956,3.32,0.68,9.5,6.0
1948,6.2,0.36,0.08,2.0,0.0559999999999999,4.0,10.0,0.9976,3.46,0.64,11.5,7.0
1949,8.7,0.43,0.31,1.9,0.065,24.0,48.0,0.9988,3.46,0.72,9.5,7.0
1950,7.6,0.55,0.07,1.8,0.0819999999999999,11.0,35.0,0.99652,3.41,0.44,9.2,5.0
1951,7.1,0.58,0.0,2.2,0.078,6.0,18.0,0.9976,3.3,0.57,12.0,7.0
1952,7.2,0.745,0.0,2.1,0.08,29.0,131.0,0.9964,3.32,0.51,9.5,6.0
1953,8.9,0.46,0.22,3.2,0.077,21.0,67.0,0.9967,3.32,0.51,9.3,5.0
1954,11.6,0.36,0.59,1.8,0.07,5.0,13.0,0.9972,3.42,0.54,10.8,3.0
1955,10.2,0.55,0.22,3.0,0.072,3.0,12.0,0.9971,3.37,0.53,11.0,6.0
1956,6.7,0.56,0.13,1.2,0.0819999999999999,28.0,81.0,0.9986,3.41,0.51,9.4,6.0
1957,7.4,0.6,0.06,2.4,0.095,7.0,19.0,0.99586,3.28,0.73,10.0,6.0
1958,8.6,0.55,0.08,2.4,0.077,21.0,50.0,0.9974,3.28,0.59,9.6,5.0
1959,6.9,0.84,0.0,2.0,0.076,23.0,113.0,0.9997,3.61,0.54,9.5,5.0
1960,7.8,0.5,0.14,1.8,0.073,23.0,44.0,0.99538,3.38,0.72,11.5,7.0
1961,9.1,0.59,0.3,1.8,0.0819999999999999,3.0,8.0,0.9968,3.18,0.49,9.4,5.0
1962,9.1,0.61,0.49,2.2,0.0819999999999999,9.0,31.0,0.9981,3.07,0.68,9.5,6.0
1963,11.4,0.4,0.68,1.8,0.074,6.0,16.0,0.9988,3.07,0.82,11.0,7.0
1964,9.2,0.4,0.54,2.7,0.092,31.0,65.0,0.99734,3.31,0.52,9.7,5.0
1965,7.1,0.6,0.02,2.0,0.074,19.0,64.0,0.9978,3.54,0.56,9.3,5.0
1966,7.5,0.42,0.44,1.8,0.073,22.0,77.0,0.9969,3.22,0.71,9.4,5.0
1967,8.5,0.46,0.24,2.0,0.0819999999999999,7.0,28.0,0.9988,3.28,0.57,9.5,5.0
1968,7.1,0.45,0.41,1.9,0.072,14.0,28.0,0.99554,3.18,0.83,9.4,6.0
1969,5.0,0.835,0.0,2.6,0.074,18.0,27.0,0.9974,3.36,0.6,11.8,5.0
1970,8.1,0.66,0.02,1.9,0.073,6.0,9.0,0.9974,3.24,0.55,9.3,6.0
1971,7.4,0.48,0.49,2.8,0.08,9.0,23.0,0.9973,3.29,0.61,11.3,5.0
1972,7.3,0.52,0.03,5.5,0.08,16.0,42.0,0.99572,3.33,0.51,10.7,6.0
1973,7.7,0.58,0.0,1.8,0.078,7.0,16.0,0.9988,3.32,0.65,10.0,6.0
1974,8.1,0.715,0.49,1.6,0.078,5.0,16.0,0.99603,3.14,0.53,10.0,6.0
1975,8.3,0.39,0.21,2.0,0.064,35.0,54.0,0.99557,3.37,0.55,11.1,7.0
1976,5.2,0.61,0.0,2.2,0.076,6.0,12.0,0.9966,3.48,0.59,10.8,5.0
1977,7.2,0.57,0.22,1.9,0.062,13.0,49.0,0.9976,3.39,0.55,9.2,4.0
1978,11.0,0.34,0.44,2.0,0.064,13.0,45.0,0.9991,3.39,0.63,10.5,6.0
1979,9.0,0.61,0.34,2.6,0.09,3.0,10.0,0.9988,3.31,0.51,11.5,6.0
1980,8.8,0.69,0.1,2.2,0.085,15.0,44.0,0.99536,3.32,0.58,9.5,5.0
1981,9.3,0.5,0.49,2.0,0.118,6.0,16.0,0.9976,3.42,0.75,10.0,6.0
1982,8.5,0.37,0.44,1.8,0.08,32.0,54.0,0.9963,3.32,0.44,10.6,6.0
1983,8.7,0.6,0.32,2.4,0.074,6.0,15.0,0.9988,3.5,0.61,9.6,5.0
1984,10.3,0.3,0.53,2.0,0.088,7.0,32.0,0.9984,3.31,1.11,12.0,4.0
1985,7.0,0.5,0.3,2.3,0.076,31.0,43.0,0.9962,3.36,0.62,9.1,5.0
1986,7.2,0.39,0.0,1.9,0.1,22.0,89.0,0.998,3.49,0.58,9.4,5.0
1987,7.4,0.38,0.41,1.9,0.094,17.0,52.0,0.99764,3.35,0.52,9.2,6.0
1988,7.0,0.82,0.03,2.2,0.077,5.0,17.0,0.9958,3.3,0.69,11.7,6.0
1989,7.8,0.45,0.18,2.1,0.0969999999999999,17.0,91.0,0.9982,3.47,0.55,9.5,5.0
1990,6.7,0.57,0.02,2.0,0.078,10.0,28.0,0.99498,3.4,0.58,12.4,7.0
1991,7.4,0.6,0.23,2.5,0.071,7.0,19.0,0.99613,3.36,0.55,10.9,6.0
1992,7.3,0.46,0.29,2.0,0.068,24.0,38.0,0.99648,3.36,0.79,13.0,6.0
1993,8.2,0.42,0.49,1.8,0.073,12.0,24.0,0.99656,3.16,0.75,9.5,5.0
1994,9.9,0.43,0.42,2.0,0.078,8.0,23.0,0.9988,3.07,0.68,12.0,6.0
1995,7.7,0.58,0.0,2.4,0.084,19.0,49.0,0.99761,3.26,0.58,10.5,5.0
1996,9.0,0.46,0.33,1.7,0.077,31.0,133.0,0.9987,3.48,0.81,9.7,5.0
1997,7.8,0.59,0.14,2.0,0.067,10.0,42.0,0.9979,3.37,0.59,9.7,5.0
1998,6.3,0.66,0.0,2.0,0.073,6.0,15.0,0.99656,3.46,0.67,12.7,6.0
1999,7.3,0.67,0.22,2.4,0.074,17.0,65.0,0.9961,3.27,0.56,9.5,6.0
2000,7.2,0.31,0.48,2.1,0.072,15.0,31.0,0.9972,3.3,0.82,10.0,6.0
2001,7.5,0.62,0.15,1.9,0.074,12.0,48.0,0.9961,3.25,0.58,9.2,6.0
2002,6.8,0.64,0.0,1.6,0.066,4.0,16.0,0.99606,3.45,0.63,10.5,5.0
2003,7.3,0.31,0.23,1.6,0.077,4.0,18.0,0.9961,3.31,0.53,9.8,5.0
2004,9.0,0.69,0.24,1.8,0.0969999999999999,6.0,13.0,0.9961,3.3,0.77,9.9,5.0
2005,7.8,0.6,0.39,1.7,0.098,9.0,17.0,0.9959,3.15,0.6,10.5,6.0
2006,7.8,0.25,0.43,2.0,0.0819999999999999,23.0,119.0,0.99708,3.36,0.66,9.8,5.0
2007,7.0,0.56,0.01,1.7,0.095,12.0,49.0,0.9963,3.36,0.56,9.5,5.0
2008,9.3,0.26,0.44,2.2,0.08,5.0,16.0,0.9987,3.19,0.74,12.5,6.0
2009,10.8,0.54,0.49,2.5,0.078,8.0,23.0,0.9986,3.31,0.66,10.5,6.0
2010,8.6,0.61,0.01,2.3,0.085,8.0,18.0,0.9981,3.12,0.6,10.2,6.0
2011,7.7,0.56,0.03,1.7,0.076,9.0,18.0,0.9956,3.25,0.59,10.7,6.0
2012,7.6,0.74,0.24,1.4,0.078,26.0,58.0,0.9982,3.22,0.53,9.4,6.0
2013,9.8,0.33,0.42,1.8,0.073,8.0,19.0,0.9964,3.36,0.57,11.0,7.0
2014,10.5,0.52,0.36,2.1,0.073,34.0,61.0,0.9982,3.27,0.9,10.6,5.0
2015,9.5,0.32,0.48,2.3,0.086,6.0,10.0,0.9986,3.41,0.56,9.5,5.0
2016,7.6,0.62,0.0,2.0,0.075,29.0,53.0,0.9978,3.42,0.53,11.5,6.0
2017,9.2,0.43,0.66,1.9,0.078,15.0,45.0,0.996,3.07,0.7,10.8,4.0
2018,8.4,0.26,0.51,2.3,0.079,8.0,66.0,0.9963,3.1,0.58,10.2,6.0
2019,7.8,0.41,0.29,2.2,0.062,15.0,44.0,0.9982,3.34,0.87,11.3,7.0
2020,9.2,0.54,0.14,2.0,0.039,12.0,47.0,0.9966,3.21,0.61,9.4,6.0
2021,9.3,0.51,0.24,1.8,0.073,38.0,66.0,0.99498,3.47,0.56,9.7,5.0
2022,9.3,0.645,0.12,2.3,0.075,9.0,22.0,0.99655,3.26,0.55,9.7,6.0
2023,7.7,0.59,0.11,2.1,0.071,13.0,77.0,0.99593,3.42,0.65,9.6,5.0
2024,7.9,0.36,0.49,2.1,0.081,15.0,28.0,0.9982,3.35,0.79,9.8,5.0
2025,8.0,0.63,0.01,1.9,0.062,5.0,16.0,0.99552,3.32,0.55,9.9,6.0
2026,7.9,0.36,0.24,2.3,0.076,13.0,35.0,0.9964,3.28,0.58,9.7,5.0
2027,6.0,0.63,0.0,2.0,0.0819999999999999,16.0,86.0,0.99458,3.51,0.59,9.5,5.0
2028,7.8,0.46,0.01,1.6,0.078,5.0,27.0,0.99745,3.49,0.57,9.3,5.0
2029,7.4,0.78,0.0,2.3,0.08,27.0,65.0,0.99774,3.48,0.6,9.7,6.0
2030,7.9,0.67,0.05,2.0,0.079,14.0,31.0,0.9978,3.39,0.54,9.5,5.0
2031,6.9,0.48,0.01,2.5,0.074,11.0,47.0,0.9969,3.33,0.57,9.5,5.0
2032,8.8,0.26,0.41,2.1,0.079,6.0,19.0,0.9976,3.21,0.54,9.3,6.0
2033,7.6,0.27,0.42,2.0,0.091,11.0,65.0,0.998,3.34,0.73,11.2,6.0
2034,8.9,0.43,0.39,2.4,0.084,10.0,49.0,0.99774,3.16,0.63,9.2,5.0
2035,7.7,0.58,0.01,5.7,0.076,32.0,48.0,0.9965,3.33,0.56,9.5,5.0
2036,8.1,0.36,0.28,2.0,0.08,16.0,88.0,0.9982,3.32,0.54,9.5,5.0
2037,8.7,0.33,0.39,2.3,0.084,12.0,20.0,0.9984,2.98,0.54,9.3,5.0
2038,7.8,0.63,0.04,1.6,0.049,13.0,26.0,0.9967,3.39,0.62,9.2,5.0
